--------------------------------------------
PID= 5 |Tipo= Writer | Fecha y hora= 2023-05-22 16:32:32 | Accion= Escribiendo | Mensaje= 10
PID= 5 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:32:37 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 5 -Linea: 18
PID= 6 |Tipo= Writer | Fecha y hora= 2023-05-22 16:32:40 | Accion= Escribiendo | Mensaje= 12
PID= 2 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:32:45 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 2 -Linea: 14
PID= 9 |Tipo= Writer | Fecha y hora= 2023-05-22 16:32:48 | Accion= Escribiendo | Mensaje= 14
PID= 8 |Tipo= Writer | Fecha y hora= 2023-05-22 16:32:51 | Accion= Escribiendo | Mensaje= 18
PID= 10 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:32:56 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 10 -Linea: 18
PID= 11 |Tipo= Writer | Fecha y hora= 2023-05-22 16:32:59 | Accion= Escribiendo | Mensaje= 18
PID= 2 |Tipo= Writer | Fecha y hora= 2023-05-22 16:32:59 | Accion= Error al escribir (Lineas llenas) | Mensaje= 
PID= 1 |Tipo= Writer | Fecha y hora= 2023-05-22 16:32:59 | Accion= Error al escribir (Lineas llenas) | Mensaje= 
PID= 6 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:33:04 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 6 -Linea: 9
PID= 4 |Tipo= Writer | Fecha y hora= 2023-05-22 16:33:07 | Accion= Escribiendo | Mensaje= 9
PID= 1 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:33:12 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 1 -Linea: 15
PID= 7 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:33:17 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 7 -Linea: 5
PID= 9 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:33:22 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 9 -Linea: 18
PID= 7 |Tipo= Writer | Fecha y hora= 2023-05-22 16:33:25 | Accion= Escribiendo | Mensaje= 5
PID= 4 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:33:30 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 4 -Linea: 13
PID= 3 |Tipo= Writer | Fecha y hora= 2023-05-22 16:33:33 | Accion= Escribiendo | Mensaje= 13
PID= 3 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:33:38 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 3 -Linea: 11
